pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"HD 173416 b","G8",,,,,
"xi Aql b","K0 III",,,,,
"18 Del b","G6 III",,,,,
"HD 210702 b","K1 IV",,,,,
"14 And b","K0 III",,,,,
"V1298 Tau b",,"14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"V1298 Tau d",,"14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"TOI-1470 b",,,,,,
"V1298 Tau b",,"14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"V1298 Tau e",,"14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"V1298 Tau c","K1","14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"V1298 Tau e","K1","14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"V1298 Tau c",,"14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"TOI-1470 b","M1.5 V",,,,,
"HD 112300 b","M1 III",,,,,
"Kepler-14 b",,,,,,
"Kepler-22 b","G5 V",,,,,
"HD 168443 b","G5",,,,,
"HD 168443 c","G5",,,,,
"HD 125612 b","G3 V",,,,,
"HD 142 b","G1 IV",,,,,
"HIP 67851 c","K0 III",,,,,
"HD 11506 c","G0 V",,,,,
"HD 183263 c",,,,,,
"HD 74156 b",,,,,,
"HD 74156 c",,,,,,
"HIP 67851 b","K0 III",,,,,
"HIP 67851 b","K0 III",,,,,
"HD 219828 c","G0 IV",,,,,
"HD 27894 b","K2 V",,,,,
"HD 27894 c","K2 V",,,,,
"GJ 676 A b",,,,,,
"GJ 676 A d",,,,,,
"GJ 676 A e",,,,,,
"GJ 676 A b",,,,,,
"HD 11506 b",,,,,,
"HD 125612 b",,,,,,
"HD 183263 b",,,,,,
"HD 204313 b",,,,,,
"HD 219828 b",,,,,,
"K2-3 b",,"15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"K2-3 c",,"15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"Kepler-32 b","M1 V",,,,,
"Kepler-205 c","M1 V",,,,,
"Kepler-249 c",,,,,,
"Kepler-32 e",,,,,,
"Kepler-26 d",,,,,,
"Kepler-125 b",,,,,,
"Kepler-205 c",,,,,,
"Kepler-32 c",,,,,,
"Kepler-236 b",,"19.52930&plusmn;0.03067","16.8858000&plusmn;0.0042527","15.463100&plusmn;0.003346","14.7436000&plusmn;0.0038581","14.3584000&plusmn;0.0045199"
"Kepler-49 b","M1 V",,,,,
"Kepler-125 b","M1 V",,,,,
"Kepler-49 c","M1 V",,,,,
"Kepler-26 c","M0 V",,,,,
"Kepler-32 e","M1 V",,,,,
"Kepler-26 d","M0 V",,,,,
"Kepler-249 d","M2 V",,,,,
"Kepler-32 d","M1 V",,,,,
"Kepler-26 b",,,,,,
"Kepler-125 b",,,,,,
"Kepler-49 c",,,,,,
"Kepler-249 c",,,,,,
"Kepler-249 b",,,,,,
"Kepler-32 e",,,,,,
"Kepler-236 b",,"19.52930&plusmn;0.03067","16.8858000&plusmn;0.0042527","15.463100&plusmn;0.003346","14.7436000&plusmn;0.0038581","14.3584000&plusmn;0.0045199"
"K2-3 d","M0 V","15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"K2-3 c","M0 V","15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"K2-26 b","M1 V","17.9402000&plusmn;0.0121136","15.3953000&plusmn;0.0031379","13.9867000&plusmn;0.0031804","15.108500&plusmn;0.012068","12.6301000&plusmn;0.0034228"
"Kepler-26 b",,,,,,
"Kepler-26 c",,,,,,
"V1298 Tau b","K0","14.9719000&plusmn;0.0094734","14.6179000&plusmn;0.0100416","14.1993000&plusmn;0.0110167","13.8830000&plusmn;0.0098912","12.883500&plusmn;0.011494"
"K2-3 c","M0.0 V","15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"K2-3 d","M0.0 V","15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"Kepler-127 b",,,,,,
"K2-3 b",,"15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"Kepler-26 c",,,,,,
"K2-3 d",,"15.7198000&plusmn;0.0060234","13.0210000&plusmn;0.0010063","11.6746000&plusmn;0.0007905","10.970200&plusmn;0.000694","12.8219000&plusmn;0.0104595"
"Kepler-49 c",,,,,,
"Kepler-26 c",,,,,,
"HD 20329 b",,,,,,
